Time;Zone;Hen;PackID
2020-02-15T09:51:30Z;Litter;Hen_33;12_ws
2020-02-15T09:51:30Z;Tier_2;Hen_84;10_ps
2020-02-15T09:51:33Z;Ramp_Nestbox;Hen_55;11_pb
2020-02-15T09:52:00Z;Tier_4;Hen_106;12_wb
2020-02-15T09:52:00Z;Litter;Hen_24;12_gb
2020-02-15T09:52:00Z;Tier_2;Hen_30;12_gs
2020-02-15T09:52:00Z;Tier_2;Hen_55;11_pb
2020-02-15T09:52:00Z;Litter;Hen_84;10_ps
2020-02-15T09:52:30Z;Litter;Hen_45;11_ss
2020-02-15T09:52:30Z;Ramp_Nestbox;Hen_55;11_pb
2020-02-15T09:53:00Z;Litter;Hen_103;11_wp
2020-02-15T09:53:00Z;Tier_4;Hen_24;12_gb
2020-02-15T09:53:00Z;Litter;Hen_55;11_pb
2020-02-15T09:53:30Z;Litter;Hen_106;12_wb
2020-02-15T09:53:30Z;Litter;Hen_24;12_gb
2020-02-15T09:54:00Z;Tier_4;Hen_24;12_gb
2020-02-15T09:54:00Z;Tier_2;Hen_79;11_gg
2020-02-15T09:54:30Z;Litter;Hen_10;12_ps
2020-02-15T09:54:30Z;Tier_4;Hen_106;12_wb
2020-02-15T09:54:30Z;Litter;Hen_24;12_gb
2020-02-15T09:54:30Z;Litter;Hen_79;11_gg
2020-02-15T09:54:30Z;Tier_4;Hen_96;12_wg
2020-02-15T09:55:00Z;Tier_2;Hen_14;11_pp
2020-02-15T09:56:00Z;Litter;Hen_30;12_gs
2020-02-15T09:56:00Z;Litter;Hen_36;11_sb
2020-02-15T09:56:00Z;Tier_2;Hen_95;12_sb
2020-02-15T09:56:30Z;Tier_2;Hen_82;11_ps
2020-02-15T09:57:00Z;Litter;Hen_14;11_pp
2020-02-15T09:57:00Z;Tier_4;Hen_24;12_gb
2020-02-15T09:57:00Z;Tier_4;Hen_65;12_sg
2020-02-15T09:57:30Z;Litter;Hen_24;12_gb
2020-02-15T09:57:30Z;Tier_2;Hen_57;12_wp
2020-02-15T09:57:30Z;Litter;Hen_65;12_sg
2020-02-15T09:57:30Z;Tier_2;Hen_68;11_sp
2020-02-15T09:57:30Z;Litter;Hen_96;12_wg
2020-02-15T09:58:00Z;Tier_2;Hen_10;12_ps
2020-02-15T09:58:00Z;Ramp_Nestbox;Hen_68;11_sp
2020-02-15T09:58:00Z;Tier_4;Hen_95;12_sb
2020-02-15T09:58:21Z;Ramp_Nestbox;Hen_4;10_ws
2020-02-15T09:58:30Z;Tier_2;Hen_33;12_ws
