Time;Zone;Hen;PackID
2020-02-15T09:49:52Z;Ramp_Nestbox;Hen_79;11_gg
2020-02-15T09:50:06Z;Litter;Hen_96;12_wg
2020-02-15T09:50:09Z;Litter;Hen_65;12_sg
2020-02-15T09:50:10Z;Litter;Hen_33;12_ws
2020-02-15T09:50:14Z;Litter;Hen_66;12_pb
2020-02-15T09:50:14Z;Tier_2;Hen_95;12_sb
2020-02-15T09:50:15Z;Litter;Hen_106;12_wb
2020-02-15T09:50:19Z;Tier_2;Hen_33;12_ws
2020-02-15T09:50:26Z;Litter;Hen_44;11_sws
2020-02-15T09:50:26Z;Litter;Hen_95;12_sb
2020-02-15T09:50:27Z;Tier_4;Hen_57;12_wp
2020-02-15T09:50:28Z;Tier_4;Hen_30;12_gs
2020-02-15T09:50:41Z;Tier_2;Hen_79;11_gg
2020-02-15T09:50:48Z;Litter;Hen_57;12_wp
2020-02-15T09:51:08Z;Ramp_Nestbox;Hen_79;11_gg
2020-02-15T09:51:21Z;Tier_2;Hen_84;10_ps
2020-02-15T09:51:26Z;Litter;Hen_30;12_gs
2020-02-15T09:51:26Z;Tier_4;Hen_44;11_sws
2020-02-15T09:51:33Z;Ramp_Nestbox;Hen_14;11_pp
2020-02-15T09:51:33Z;Ramp_Nestbox;Hen_55;11_pb
2020-02-15T09:51:36Z;Litter;Hen_24;12_gb
2020-02-15T09:51:43Z;Litter;Hen_33;12_ws
2020-02-15T09:51:43Z;Litter;Hen_44;11_sws
2020-02-15T09:51:45Z;Tier_4;Hen_24;12_gb
2020-02-15T09:51:49Z;Litter;Hen_24;12_gb
2020-02-15T09:51:58Z;Tier_4;Hen_24;12_gb
2020-02-15T09:52:05Z;Litter;Hen_24;12_gb
2020-02-15T09:52:05Z;Tier_2;Hen_30;12_gs
2020-02-15T09:52:06Z;Tier_4;Hen_30;12_gs
2020-02-15T09:52:08Z;Litter;Hen_84;10_ps
2020-02-15T09:52:11Z;Tier_2;Hen_30;12_gs
2020-02-15T09:52:11Z;Tier_2;Hen_55;11_pb
2020-02-15T09:52:12Z;Tier_4;Hen_106;12_wb
2020-02-15T09:52:27Z;Litter;Hen_45;11_ss
2020-02-15T09:52:34Z;Ramp_Nestbox;Hen_55;11_pb
2020-02-15T09:52:58Z;Litter;Hen_103;11_wp
2020-02-15T09:52:58Z;Litter;Hen_55;11_pb
2020-02-15T09:53:00Z;Tier_4;Hen_24;12_gb
2020-02-15T09:53:20Z;Litter;Hen_24;12_gb
2020-02-15T09:53:28Z;Litter;Hen_106;12_wb
2020-02-15T09:53:52Z;Tier_2;Hen_79;11_gg
2020-02-15T09:53:53Z;Tier_4;Hen_24;12_gb
2020-02-15T09:54:16Z;Tier_4;Hen_96;12_wg
2020-02-15T09:54:17Z;Tier_4;Hen_106;12_wb
2020-02-15T09:54:21Z;Litter;Hen_24;12_gb
2020-02-15T09:54:35Z;Litter;Hen_10;12_ps
2020-02-15T09:54:40Z;Tier_4;Hen_65;12_sg
2020-02-15T09:54:44Z;Litter;Hen_79;11_gg
2020-02-15T09:54:45Z;Litter;Hen_65;12_sg
2020-02-15T09:54:54Z;Tier_2;Hen_14;11_pp
2020-02-15T09:55:30Z;Tier_4;Hen_65;12_sg
2020-02-15T09:55:40Z;Litter;Hen_65;12_sg
2020-02-15T09:55:44Z;Tier_4;Hen_65;12_sg
2020-02-15T09:55:45Z;Litter;Hen_65;12_sg
2020-02-15T09:55:51Z;Tier_2;Hen_95;12_sb
2020-02-15T09:56:00Z;Litter;Hen_30;12_gs
2020-02-15T09:56:09Z;Litter;Hen_36;11_sb
2020-02-15T09:56:33Z;Tier_2;Hen_82;11_ps
2020-02-15T09:56:50Z;Tier_4;Hen_65;12_sg
2020-02-15T09:56:57Z;Litter;Hen_65;12_sg
2020-02-15T09:57:01Z;Tier_4;Hen_65;12_sg
2020-02-15T09:57:04Z;Litter;Hen_14;11_pp
2020-02-15T09:57:11Z;Tier_4;Hen_24;12_gb
2020-02-15T09:57:20Z;Litter;Hen_96;12_wg
2020-02-15T09:57:21Z;Litter;Hen_65;12_sg
2020-02-15T09:57:24Z;Tier_4;Hen_65;12_sg
2020-02-15T09:57:26Z;Tier_2;Hen_57;12_wp
2020-02-15T09:57:27Z;Litter;Hen_24;12_gb
2020-02-15T09:57:33Z;Litter;Hen_65;12_sg
2020-02-15T09:57:38Z;Tier_2;Hen_68;11_sp
2020-02-15T09:57:47Z;Ramp_Nestbox;Hen_68;11_sp
