Time;Zone;Hen;PackID
2020-02-15T09:40:10Z;Tier_4;Hen_95;12_sb
2020-02-15T09:40:12Z;Litter;Hen_95;12_sb
2020-02-15T09:40:15Z;Tier_4;Hen_57;12_wp
2020-02-15T09:40:18Z;Tier_4;Hen_61;12_sp
2020-02-15T09:40:20Z;Tier_4;Hen_36;11_sb
2020-02-15T09:40:21Z;Litter;Hen_61;12_sp
2020-02-15T09:40:25Z;Tier_2;Hen_36;11_sb
2020-02-15T09:40:26Z;Tier_4;Hen_96;12_wg
2020-02-15T09:40:27Z;Tier_4;Hen_61;12_sp
2020-02-15T09:40:29Z;Litter;Hen_61;12_sp
2020-02-15T09:40:34Z;Tier_2;Hen_96;12_wg
2020-02-15T09:40:44Z;Wintergarten;Hen_33;12_ws
2020-02-15T09:40:44Z;Litter;Hen_57;12_wp
2020-02-15T09:40:49Z;Tier_4;Hen_57;12_wp
2020-02-15T09:40:50Z;Tier_4;Hen_95;12_sb
2020-02-15T09:40:53Z;Litter;Hen_95;12_sb
2020-02-15T09:40:54Z;Litter;Hen_33;12_ws
2020-02-15T09:40:55Z;Tier_2;Hen_44;11_sws
2020-02-15T09:41:12Z;Tier_4;Hen_95;12_sb
2020-02-15T09:41:12Z;Litter;Hen_95;12_sb
2020-02-15T09:41:16Z;Tier_4;Hen_33;12_ws
2020-02-15T09:41:19Z;Litter;Hen_33;12_ws
2020-02-15T09:41:19Z;Litter;Hen_96;12_wg
2020-02-15T09:41:21Z;Tier_4;Hen_33;12_ws
2020-02-15T09:41:25Z;Litter;Hen_57;12_wp
2020-02-15T09:41:27Z;Litter;Hen_33;12_ws
2020-02-15T09:41:27Z;Ramp_Nestbox;Hen_36;11_sb
2020-02-15T09:41:30Z;Tier_2;Hen_24;12_gb
2020-02-15T09:41:33Z;Tier_4;Hen_33;12_ws
2020-02-15T09:41:35Z;Tier_4;Hen_34;12_gg
2020-02-15T09:41:36Z;Litter;Hen_33;12_ws
2020-02-15T09:41:38Z;Litter;Hen_34;12_gg
2020-02-15T09:41:48Z;Tier_2;Hen_46;10_wp
2020-02-15T09:41:50Z;Tier_4;Hen_57;12_wp
2020-02-15T09:41:51Z;Litter;Hen_57;12_wp
2020-02-15T09:41:57Z;Tier_4;Hen_36;11_sb
2020-02-15T09:42:03Z;Tier_4;Hen_96;12_wg
2020-02-15T09:42:06Z;Litter;Hen_96;12_wg
2020-02-15T09:42:09Z;Tier_4;Hen_57;12_wp
2020-02-15T09:42:16Z;Litter;Hen_57;12_wp
2020-02-15T09:42:17Z;Tier_4;Hen_95;12_sb
2020-02-15T09:42:18Z;Tier_4;Hen_57;12_wp
2020-02-15T09:42:21Z;Tier_4;Hen_96;12_wg
2020-02-15T09:42:25Z;Tier_2;Hen_8;12_ss
2020-02-15T09:42:27Z;Tier_2;Hen_61;12_sp
2020-02-15T09:42:28Z;Tier_4;Hen_8;12_ss
2020-02-15T09:42:32Z;Litter;Hen_95;12_sb
2020-02-15T09:42:32Z;Litter;Hen_96;12_wg
2020-02-15T09:42:34Z;Litter;Hen_61;12_sp
2020-02-15T09:42:45Z;Tier_4;Hen_95;12_sb
2020-02-15T09:42:46Z;Litter;Hen_57;12_wp
2020-02-15T09:42:49Z;Ramp_Nestbox;Hen_44;11_sws
2020-02-15T09:42:50Z;Tier_4;Hen_61;12_sp
2020-02-15T09:42:53Z;Litter;Hen_61;12_sp
2020-02-15T09:42:55Z;Litter;Hen_95;12_sb
2020-02-15T09:42:56Z;Tier_2;Hen_44;11_sws
2020-02-15T09:43:00Z;Tier_4;Hen_95;12_sb
2020-02-15T09:43:07Z;Tier_4;Hen_34;12_gg
2020-02-15T09:43:07Z;Litter;Hen_34;12_gg
2020-02-15T09:43:07Z;Litter;Hen_95;12_sb
2020-02-15T09:43:15Z;Tier_4;Hen_95;12_sb
2020-02-15T09:43:20Z;Litter;Hen_95;12_sb
2020-02-15T09:43:21Z;Tier_4;Hen_57;12_wp
2020-02-15T09:43:25Z;Litter;Hen_57;12_wp
2020-02-15T09:43:45Z;Tier_4;Hen_28;11_gb
2020-02-15T09:43:47Z;Tier_2;Hen_28;11_gb
2020-02-15T09:43:56Z;Ramp_Nestbox;Hen_28;11_gb
2020-02-15T09:44:05Z;Litter;Hen_52;11_bb
2020-02-15T09:44:29Z;Tier_4;Hen_34;12_gg
2020-02-15T09:44:32Z;Litter;Hen_34;12_gg
2020-02-15T09:44:33Z;Tier_2;Hen_96;12_wg
2020-02-15T09:44:40Z;Tier_4;Hen_34;12_gg
2020-02-15T09:44:43Z;Litter;Hen_34;12_gg
2020-02-15T09:44:43Z;Tier_4;Hen_61;12_sp
2020-02-15T09:44:55Z;Tier_4;Hen_57;12_wp
2020-02-15T09:44:57Z;Litter;Hen_61;12_sp
2020-02-15T09:44:59Z;Tier_4;Hen_34;12_gg
2020-02-15T09:45:01Z;Litter;Hen_57;12_wp
2020-02-15T09:45:02Z;Litter;Hen_34;12_gg
2020-02-15T09:45:08Z;Tier_4;Hen_28;11_gb
2020-02-15T09:45:10Z;Tier_4;Hen_34;12_gg
2020-02-15T09:45:12Z;Tier_4;Hen_95;12_sb
2020-02-15T09:45:14Z;Tier_4;Hen_57;12_wp
2020-02-15T09:45:15Z;Litter;Hen_34;12_gg
2020-02-15T09:45:16Z;Litter;Hen_57;12_wp
2020-02-15T09:45:23Z;Litter;Hen_66;12_pb
2020-02-15T09:45:30Z;Litter;Hen_95;12_sb
2020-02-15T09:45:42Z;Tier_4;Hen_34;12_gg
2020-02-15T09:45:47Z;Litter;Hen_34;12_gg
2020-02-15T09:45:58Z;Tier_4;Hen_95;12_sb
2020-02-15T09:45:59Z;Litter;Hen_95;12_sb
2020-02-15T09:46:03Z;Tier_4;Hen_95;12_sb
2020-02-15T09:46:04Z;Litter;Hen_95;12_sb
2020-02-15T09:46:12Z;Tier_4;Hen_34;12_gg
2020-02-15T09:46:13Z;Tier_2;Hen_34;12_gg
2020-02-15T09:46:19Z;Wintergarten;Hen_61;12_sp
2020-02-15T09:46:22Z;Ramp_Nestbox;Hen_34;12_gg
2020-02-15T09:46:36Z;Litter;Hen_61;12_sp
2020-02-15T09:46:40Z;Tier_2;Hen_100;10_bb
2020-02-15T09:47:35Z;Litter;Hen_14;11_pp
2020-02-15T09:47:36Z;Tier_2;Hen_34;12_gg
2020-02-15T09:47:44Z;Litter;Hen_65;12_sg
2020-02-15T09:47:54Z;Tier_2;Hen_66;12_pb
2020-02-15T09:47:55Z;Tier_4;Hen_33;12_ws
2020-02-15T09:48:01Z;Litter;Hen_33;12_ws
2020-02-15T09:48:10Z;Litter;Hen_30;12_gs
2020-02-15T09:48:14Z;Litter;Hen_68;11_sp
2020-02-15T09:48:22Z;Tier_4;Hen_66;12_pb
2020-02-15T09:48:22Z;Litter;Hen_96;12_wg
2020-02-15T09:48:31Z;Litter;Hen_66;12_pb
2020-02-15T09:48:46Z;Tier_4;Hen_66;12_pb
2020-02-15T09:48:51Z;Litter;Hen_66;12_pb
2020-02-15T09:48:57Z;Tier_2;Hen_45;11_ss
2020-02-15T09:48:57Z;Wintergarten;Hen_65;12_sg
2020-02-15T09:48:59Z;Ramp_Nestbox;Hen_106;12_wb
2020-02-15T09:49:05Z;Tier_2;Hen_106;12_wb
2020-02-15T09:49:10Z;Litter;Hen_100;10_bb
2020-02-15T09:49:16Z;Tier_4;Hen_66;12_pb
2020-02-15T09:49:17Z;Litter;Hen_66;12_pb
2020-02-15T09:49:17Z;Tier_4;Hen_95;12_sb
2020-02-15T09:49:22Z;Tier_2;Hen_96;12_wg
2020-02-15T09:49:34Z;Litter;Hen_95;12_sb
2020-02-15T09:49:39Z;Tier_4;Hen_95;12_sb
2020-02-15T09:49:43Z;Litter;Hen_95;12_sb
2020-02-15T09:49:44Z;Tier_4;Hen_95;12_sb
2020-02-15T09:49:45Z;Tier_4;Hen_66;12_pb
2020-02-15T09:49:46Z;Tier_4;Hen_45;11_ss
2020-02-15T09:49:49Z;Tier_2;Hen_45;11_ss
2020-02-15T09:49:50Z;Tier_4;Hen_33;12_ws
2020-02-15T09:49:52Z;Ramp_Nestbox;Hen_79;11_gg
2020-02-15T09:49:53Z;Litter;Hen_66;12_pb
2020-02-15T09:49:54Z;Tier_4;Hen_66;12_pb
2020-02-15T09:50:02Z;Litter;Hen_66;12_pb
2020-02-15T09:50:04Z;Litter;Hen_96;12_wg
2020-02-15T09:50:05Z;Tier_4;Hen_96;12_wg
2020-02-15T09:50:08Z;Litter;Hen_33;12_ws
2020-02-15T09:50:08Z;Litter;Hen_96;12_wg
2020-02-15T09:50:09Z;Litter;Hen_65;12_sg
2020-02-15T09:50:13Z;Tier_2;Hen_95;12_sb
2020-02-15T09:50:14Z;Tier_4;Hen_66;12_pb
2020-02-15T09:50:15Z;Litter;Hen_106;12_wb
2020-02-15T09:50:21Z;Tier_2;Hen_33;12_ws
2020-02-15T09:50:26Z;Litter;Hen_44;11_sws
2020-02-15T09:50:26Z;Litter;Hen_66;12_pb
2020-02-15T09:50:27Z;Tier_4;Hen_57;12_wp
2020-02-15T09:50:27Z;Litter;Hen_95;12_sb
2020-02-15T09:50:28Z;Tier_4;Hen_30;12_gs
2020-02-15T09:50:32Z;Litter;Hen_94;10_sg
2020-02-15T09:50:34Z;Tier_2;Hen_94;10_sg
2020-02-15T09:50:41Z;Tier_2;Hen_79;11_gg
2020-02-15T09:50:42Z;Litter;Hen_94;10_sg
2020-02-15T09:50:43Z;Tier_2;Hen_94;10_sg
2020-02-15T09:50:44Z;Tier_4;Hen_106;12_wb
2020-02-15T09:50:48Z;Litter;Hen_57;12_wp
2020-02-15T09:50:51Z;Litter;Hen_106;12_wb
2020-02-15T09:51:05Z;Tier_4;Hen_106;12_wb
2020-02-15T09:51:08Z;Tier_4;Hen_66;12_pb
2020-02-15T09:51:08Z;Ramp_Nestbox;Hen_79;11_gg
2020-02-15T09:51:11Z;Litter;Hen_106;12_wb
2020-02-15T09:51:11Z;Litter;Hen_66;12_pb
2020-02-15T09:51:20Z;Litter;Hen_30;12_gs
2020-02-15T09:51:21Z;Tier_4;Hen_106;12_wb
2020-02-15T09:51:21Z;Tier_2;Hen_84;10_ps
2020-02-15T09:51:22Z;Litter;Hen_106;12_wb
